role,clean_skills,count
backend,0,1590
backend,4,1589
backend,8,1589
backend,ability to work in a fastpaced environment,1
backend,ability to work independently,1
backend,ada,58
backend,agile,12
backend,agile development,1
backend,airflow,16
backend,algorithms,1
backend,amazon web server aws,3
backend,angular,1736
backend,ansible,1309
backend,ant,423
backend,apache kafka,2121
backend,apache spark,553
backend,apex,60
backend,api,6
backend,apis,2
backend,apl,8
backend,apt,817
backend,as part of a team,1
backend,asp,2336
backend,assembly,310
backend,automation,1
backend,automation testing,13
backend,aws,23
backend,azure,10
backend,bandit,85
backend,bash,4500
backend,blazor,494
backend,boost,51
backend,build2,10
backend,bun,38
backend,business analysis,1
backend,c,1743
backend,c#,3334
backend,c++,2122
backend,capacitor,62
backend,cargo,1575
backend,catch2,87
backend,chef,128
backend,chocolatey,843
backend,ci cd,11
backend,clojure,250
backend,cloud,3
backend,cloud computing,6
backend,cloud data pipelines,11
backend,cloud platforms,1
backend,cmake,1310
backend,cobol,52
backend,codeigniter,186
backend,composer,1080
backend,computer vision,7
backend,continuous delivery,14
backend,continuous integration,15
backend,cordova,102
backend,cppunit,47
backend,crystal reports,45
backend,css,4675
backend,cuda,254
backend,d,1
backend,dagger,123
backend,dart,421
backend,data architecture,1
backend,data extraction,1
backend,data governance,1
backend,data ingestion,8
backend,data integration,1
backend,data loading,1
backend,data manipulation,1
backend,data pipelines,14
backend,data processing,6
backend,data quality,1
backend,data science,3
backend,data storage,7
backend,data structures,3
backend,data transformation,1
backend,data_analysis,5
backend,data_visualization,1
backend,database,18
backend,debugging,1
backend,delphi,169
backend,deno,125
backend,development,2
backend,digital marketing,2
backend,diversity,2
backend,django,1451
backend,docker,8572
backend,doctest,45
backend,drupal,158
backend,electron,322
backend,elixir,501
backend,elm,84
backend,erlang,229
backend,ership,3
backend,ethics,1
backend,etl processes,1
backend,excel,1
backend,express,1456
backend,f#,151
backend,fastapi,1111
backend,fastify,196
backend,flask,1343
backend,flow,9
backend,flutter,554
backend,fortran,46
backend,gatsby,120
backend,gdscript,133
backend,git,36
backend,gnu gcc,1098
backend,go,2826
backend,godot,246
backend,golang,5
backend,google test,329
backend,google_cloud,14
backend,gradle,2283
backend,graphql,10
backend,groovy,623
backend,grpc,8
backend,gtk,148
backend,hadoop,275
backend,haskell,230
backend,homebrew,3175
backend,html,4675
backend,hugging face transformers,158
backend,hybrid working,1
backend,inclusion,2
backend,innovation,2
backend,ionic,128
backend,java,5028
backend,javascript,7718
backend,jax,111
backend,jenkins,1
backend,jira,1
backend,jquery,1850
backend,json,1
backend,julia,65
backend,kafka,1
backend,keras,238
backend,kotlin,1385
backend,ktor,169
backend,kubernetes,4223
backend,laravel,903
backend,learn,575
backend,lest,4
backend,lisp,154
backend,lit,23
backend,llvm's clang,672
backend,lua,661
backend,machine_learning,17
backend,make,2877
backend,market analysis,1
backend,marketing,1
backend,matlab,217
backend,maven,2978
backend,mentoring,4
backend,mentorship,2
backend,meson,104
backend,mfc,62
backend,micronaut,142
backend,microservices,7
backend,mongodb,23
backend,msbuild,1337
backend,msvc,354
backend,mysql,18
backend,nestjs,550
backend,net,1487
backend,net 1,1589
backend,net 5+,2618
backend,net core,2097
backend,net maui,169
backend,next,1011
backend,nim,28
backend,ninja,343
backend,nix,305
backend,node.js,3393
backend,nosql,2
backend,npm,5112
backend,nuget,1999
backend,numpy,1510
backend,nuxt,202
backend,objective,117
backend,ocaml,76
backend,opencv,530
backend,opengl,352
backend,pacman,680
backend,pandas,1546
backend,performance optimization,1
backend,perl,311
backend,ph,1
backend,phoenix,374
backend,php,2123
backend,pip,3378
backend,play,166
backend,pnpm,413
backend,podman,574
backend,postgresql,37
backend,power_bi,2
backend,powershell,1414
backend,problemsolving,1
backend,product development,2
backend,project management,2
backend,prolog,88
backend,prototyping,1
backend,pubsub,15
backend,pulumi,130
backend,puppet,135
backend,python,6054
backend,pytorch,1
backend,qmake,92
backend,qt,394
backend,quarkus,262
backend,qwik,14
backend,r,251
backend,rabbitmq,2123
backend,raku,19
backend,react,3207
backend,react native,404
backend,redis,16
backend,relational databases,1
backend,remix,42
backend,remote work,1
backend,research,1
backend,rest api,5
backend,restful api,20
backend,ruby,1058
backend,ruby on rails,802
backend,rust,1755
backend,sas,19
backend,scala,814
backend,scalability,8
backend,scikit,575
backend,scons,36
backend,secret clearance,1
backend,security,4
backend,service apis,7
backend,service oriented architectures,5
backend,snitch,3
backend,software,1
backend,software development,5
backend,software ing,1
backend,solid,52
backend,solidity,131
backend,spark,1
backend,spring,2314
backend,spring boot,2576
backend,sql,7212
backend,statistics,1
backend,svelte,372
backend,swift,232
backend,swiftui,132
backend,symfony,567
backend,tableau,2
backend,tauri,119
backend,tdd,15
backend,tensorflow,560
backend,terraform,2206
backend,test,51
backend,testing,1
backend,tidyverse,31
backend,torch pytorch,527
backend,typescript,4147
backend,unit testing,1
backend,unity 3d,468
backend,uno platform,26
backend,unreal engine,188
backend,validation,1
backend,vba,220
backend,visual basic,329
backend,visual studio solution,1502
backend,vite,823
backend,vue,1347
backend,wasmer,53
backend,webpack,1469
backend,wordpress,838
backend,xamarin,208
backend,yarn,2210
backend,zig,86
data analyst,0,3
data analyst,4,1
data analyst,401 k plan,5
data analyst,401k,5
data analyst,a b testing,164
data analyst,ability to meet deadlines,15
data analyst,ability to work in a fastpaced environment,6
data analyst,ability to work independently,21
data analyst,ability to work under pressure,11
data analyst,accenture,8
data analyst,access,45
data analyst,accounting,38
data analyst,accuracy,48
data analyst,ad hoc analysis,8
data analyst,ad hoc reporting,5
data analyst,adhoc reporting,5
data analyst,adobe acrobat,7
data analyst,adobe analytics,13
data analyst,agile,73
data analyst,agile development,95
data analyst,agile development methods,6
data analyst,agile methodologies,9
data analyst,agile methodology,11
data analyst,agile project management,5
data analyst,ai,16
data analyst,airflow,83
data analyst,algorithm development,8
data analyst,algorithms,30
data analyst,alibaba,8
data analyst,alteryx,258
data analyst,amazon,9
data analyst,ambiguity tolerance,6
data analyst,analysis,19
data analyst,analytic methods,23
data analyst,analytic skills,5
data analyst,analytics,98
data analyst,angular,2
data analyst,anomaly detection,7
data analyst,ansible,2
data analyst,apache kafka,2
data analyst,apache spark,4
data analyst,apex,1
data analyst,api,6
data analyst,api integration,6
data analyst,apis,12
data analyst,application development,5
data analyst,applied mathematics,8
data analyst,apps script,6
data analyst,arcgis,17
data analyst,artificial intelligence,81
data analyst,artificial intelligence ai,13
data analyst,as part of a team,8
data analyst,asp,7
data analyst,assembly,14
data analyst,asset management,5
data analyst,atlassian,13
data analyst,attendance,5
data analyst,audit,7
data analyst,auditing,6
data analyst,audits,7
data analyst,augmented reality,11
data analyst,aurora,19
data analyst,automation,58
data analyst,automation testing,1
data analyst,aws,528
data analyst,azure,486
data analyst,azure sql,6
data analyst,background check,6
data analyst,bain,8
data analyst,banking,9
data analyst,bash,10
data analyst,benchmarking,8
data analyst,benefits,7
data analyst,best practices,6
data analyst,bi,5
data analyst,bi solutions,7
data analyst,bi tools,14
data analyst,big data,81
data analyst,big data technologies,5
data analyst,big query,6
data analyst,bigquery,164
data analyst,bilingual,11
data analyst,biochemistry,5
data analyst,bioinformatics,7
data analyst,biostatistics,19
data analyst,budget management,5
data analyst,budgeting,25
data analyst,building information modeling bim,10
data analyst,business,38
data analyst,business acumen,56
data analyst,business administration,19
data analyst,business analysis,141
data analyst,business analyst,9
data analyst,business analytics,57
data analyst,business continuity,10
data analyst,business data analysis,9
data analyst,business data analyst,12
data analyst,business definitions,6
data analyst,business development,14
data analyst,business insights,14
data analyst,business intelligence,330
data analyst,business intelligence bi,51
data analyst,business intelligence tools,20
data analyst,business knowledge,6
data analyst,business metrics,6
data analyst,business needs,10
data analyst,business objectives,7
data analyst,business objects,17
data analyst,business operations,7
data analyst,business performance,5
data analyst,business process improvement,15
data analyst,business process optimization,6
data analyst,business processes,10
data analyst,business questions,6
data analyst,business requirements,44
data analyst,business requirements gathering,13
data analyst,business solutions,7
data analyst,business strategy,17
data analyst,business_analysis,18
data analyst,c,222
data analyst,c#,12
data analyst,c++,78
data analyst,capital one,8
data analyst,career development,5
data analyst,cartography,6
data analyst,cassandra,15
data analyst,causal inference,8
data analyst,certifications,5
data analyst,certified health data analyst certification,5
data analyst,certified health data analyst chda,12
data analyst,certified health data analyst chda certification,29
data analyst,change management,29
data analyst,change management skills,6
data analyst,charts,6
data analyst,chef,1
data analyst,chemistry,7
data analyst,ci cd,7
data analyst,citizenship,8
data analyst,civil ing,6
data analyst,claims,6
data analyst,classification,8
data analyst,clickstream data,5
data analyst,clinical data,18
data analyst,clinical data analysis,14
data analyst,clinical informatics,21
data analyst,clinical modules,9
data analyst,clinical operations,10
data analyst,clinical outcomes,5
data analyst,clinical research,13
data analyst,clinical trials,11
data analyst,clinical workflows,6
data analyst,clojure,1
data analyst,cloud,5
data analyst,cloud computing,73
data analyst,cloud environments,5
data analyst,cloud platforms,5
data analyst,clustering,13
data analyst,coaching,15
data analyst,cobol,6
data analyst,coding,17
data analyst,cognos,92
data analyst,collibra,6
data analyst,com,10
data analyst,competitive research,8
data analyst,complex queries,12
data analyst,compliance,19
data analyst,computer ing,7
data analyst,computer science,125
data analyst,computer skills,6
data analyst,computer vision,10
data analyst,concepts,8
data analyst,condition assessments,7
data analyst,confidentiality,15
data analyst,conflict resolution,8
data analyst,confluence,18
data analyst,consulting,32
data analyst,consumer behavioral insights,6
data analyst,continuous delivery,2
data analyst,continuous improvement,29
data analyst,continuous integration,2
data analyst,contract management,5
data analyst,crm systems,19
data analyst,crossfunctional teams,16
data analyst,crossselling,6
data analyst,crystal reports,79
data analyst,css,36
data analyst,ctrip,8
data analyst,curiosity,17
data analyst,customer engagement,6
data analyst,customer segmentation,9
data analyst,customer service,54
data analyst,customer service skills,5
data analyst,cyber security,5
data analyst,d,4
data analyst,d3,5
data analyst,dart,1
data analyst,dashboard,9
data analyst,dashboard creation,25
data analyst,dashboard design,6
data analyst,dashboard development,29
data analyst,dashboarding,15
data analyst,dashboards,87
data analyst,data,11
data analyst,data accessibility,8
data analyst,data accuracy,81
data analyst,data acquisition,27
data analyst,data aggregation,15
data analyst,data analysis in healthcare,12
data analyst,data analysis tools,10
data analyst,data analyst,70
data analyst,data analytics tools,5
data analyst,data architecture,56
data analyst,data auditing,6
data analyst,data automation,7
data analyst,data catalog,5
data analyst,data cataloging,6
data analyst,data cleaning,90
data analyst,data cleansing,125
data analyst,data collection,156
data analyst,data compilation,19
data analyst,data completeness,43
data analyst,data compliance,12
data analyst,data confidentiality,6
data analyst,data consistency,15
data analyst,data consolidation,7
data analyst,data conversion,5
data analyst,data curation,8
data analyst,data design,5
data analyst,data dictionaries,25
data analyst,data dictionary,11
data analyst,data discovery,9
data analyst,data dissemination,10
data analyst,data documentation,12
data analyst,data enrichment,6
data analyst,data entry,30
data analyst,data ethics,15
data analyst,data evaluation,7
data analyst,data exploration,23
data analyst,data extraction,140
data analyst,data fusion,5
data analyst,data gathering,27
data analyst,data generation,5
data analyst,data governance,203
data analyst,data ing,78
data analyst,data ingestion,8
data analyst,data insights,19
data analyst,data integration,166
data analyst,data integrity,143
data analyst,data interpretation,205
data analyst,data lake,7
data analyst,data lakes,12
data analyst,data lineage,18
data analyst,data literacy,17
data analyst,data loading,8
data analyst,data maintenance,12
data analyst,data management,370
data analyst,data management systems,10
data analyst,data manipulation,171
data analyst,data mapping,36
data analyst,data migration,40
data analyst,data mining,367
data analyst,data modeling,276
data analyst,data modelling,29
data analyst,data models,24
data analyst,data normalization,13
data analyst,data pipelines,35
data analyst,data platforms,10
data analyst,data policies,8
data analyst,data preparation,27
data analyst,data preprocessing,10
data analyst,data privacy,35
data analyst,data processing,53
data analyst,data products,6
data analyst,data profiling,41
data analyst,data protection,13
data analyst,data quality,199
data analyst,data quality analysis,5
data analyst,data quality assessment,10
data analyst,data quality assurance,43
data analyst,data quality checks,5
data analyst,data quality control,21
data analyst,data quality improvement,10
data analyst,data quality management,67
data analyst,data quality standards,5
data analyst,data quality tools,5
data analyst,data queries,6
data analyst,data querying,19
data analyst,data reconciliation,12
data analyst,data remediation,8
data analyst,data reporting,139
data analyst,data reports,7
data analyst,data requests,5
data analyst,data requirements,25
data analyst,data research,11
data analyst,data retrieval,17
data analyst,data science,246
data analyst,data security,85
data analyst,data segmentation,10
data analyst,data sets,11
data analyst,data solutions,8
data analyst,data sources,13
data analyst,data sourcing,5
data analyst,data standardization,14
data analyst,data standards,20
data analyst,data stewardship,14
data analyst,data storage,24
data analyst,data storytelling,28
data analyst,data strategy,13
data analyst,data structures,33
data analyst,data studio,5
data analyst,data synthesis,8
data analyst,data systems,7
data analyst,data testing,7
data analyst,data tracking,7
data analyst,data transfer,7
data analyst,data transformation,97
data analyst,data validation,95
data analyst,data vault,5
data analyst,data verification,5
data analyst,data visualisation,6
data analyst,data visualization tools,37
data analyst,data visualizations,9
data analyst,data warehouse,30
data analyst,data warehouses,9
data analyst,data warehousing,212
data analyst,data wrangling,17
data analyst,data_analysis,1531
data analyst,data_visualization,977
data analyst,database,145
data analyst,database architecture,9
data analyst,database design,35
data analyst,database development,19
data analyst,database maintenance,7
data analyst,database management,48
data analyst,database management systems,5
data analyst,database structures,13
data analyst,database systems,7
data analyst,database technologies,8
data analyst,databricks,26
data analyst,datadriven decisionmaking,33
data analyst,datadriven insights,21
data analyst,datadriven recommendations,5
data analyst,datadriven solutions,26
data analyst,datadriven storytelling,5
data analyst,dax,131
data analyst,db2,12
data analyst,dbt,21
data analyst,deadline management,5
data analyst,deadlines,8
data analyst,debugging,5
data analyst,decipher,5
data analyst,decision support,6
data analyst,decision trees,10
data analyst,decisionmaking,18
data analyst,deep learning,11
data analyst,deloitte,8
data analyst,delphi,1
data analyst,dental insurance,9
data analyst,descriptive statistics,11
data analyst,design,16
data analyst,detail orientation,11
data analyst,detailoriented,19
data analyst,development,28
data analyst,devops,17
data analyst,digital marketing,24
data analyst,digital technologies,7
data analyst,dimensional modeling,6
data analyst,disability insurance,6
data analyst,disaster recovery,12
data analyst,dissolution testing,5
data analyst,diversity,21
data analyst,django,4
data analyst,docker,34
data analyst,documentation,70
data analyst,domo,15
data analyst,dremel f1,5
data analyst,ecommerce,17
data analyst,economics,63
data analyst,edi,6
data analyst,education,11
data analyst,efficiency,11
data analyst,ehr,9
data analyst,eit certification,7
data analyst,elasticsearch,9
data analyst,electronic medical records,5
data analyst,emerging technologies,8
data analyst,emr,8
data analyst,engagement,5
data analyst,english,13
data analyst,english proficiency,5
data analyst,environmental ing,6
data analyst,epic,8
data analyst,epic clarity,35
data analyst,epic clarity data model,10
data analyst,epic clarity data model certification,28
data analyst,epic clarity reporting,46
data analyst,epic clinical data model,10
data analyst,epic clinical data model certification,20
data analyst,epic revenue cycle,10
data analyst,epic revenue cycle certification,16
data analyst,epidemiology,18
data analyst,equal opportunity employer,24
data analyst,equity,8
data analyst,erlang,2
data analyst,erp,11
data analyst,erp systems,22
data analyst,ership,73
data analyst,ership skills,12
data analyst,erwin,5
data analyst,ethics,5
data analyst,etl,130
data analyst,etl development,6
data analyst,etl extract transform load,8
data analyst,etl pipelines,9
data analyst,etl processes,69
data analyst,etl s,5
data analyst,etl tools,14
data analyst,evaluation,9
data analyst,everify,6
data analyst,excel,2666
data analyst,execution,8
data analyst,expedia,9
data analyst,experimental design,12
data analyst,experimentation,13
data analyst,exploratory analysis,5
data analyst,exploratory data analysis,5
data analyst,facebook,9
data analyst,facilitation skills,6
data analyst,fastapi,1
data analyst,fastpaced environment,24
data analyst,finance,98
data analyst,financial accounting,5
data analyst,financial analysis,47
data analyst,financial data,7
data analyst,financial data analysis,12
data analyst,financial modeling,21
data analyst,financial reporting,32
data analyst,financial services,17
data analyst,financial systems,7
data analyst,fivetran,8
data analyst,flask,3
data analyst,flume,5
data analyst,forecasting,65
data analyst,fraud detection,8
data analyst,g,5
data analyst,gap,5
data analyst,gdpr,30
data analyst,generation,6
data analyst,ggplot2,8
data analyst,gis,19
data analyst,git,218
data analyst,go,280
data analyst,gojek,7
data analyst,golang,3
data analyst,google,9
data analyst,google ads,7
data analyst,google analytics,58
data analyst,google big query,7
data analyst,google cloud,8
data analyst,google data studio,8
data analyst,google suite,5
data analyst,google tag manager,5
data analyst,google_cloud,119
data analyst,google_sheets,11
data analyst,grab,8
data analyst,graphql,4
data analyst,groovy,3
data analyst,hadoop,200
